#,sent_orig,orig_gend,sent_hen,google_en,deepl_en,ms_en
0,Hon började att spela piano vid tre års ålder.,f,Hen började att spela piano vid tre års ålder.,d,m,m
1,Hon flyttade sedan aldrig tillbaka dit.,f,Hen flyttade sedan aldrig tillbaka dit.,d,b,m
2,Två dagar senare gick han bort.,m,Två dagar senare gick hen bort.,m,f,m
3,Hon gav sig också ut på en framgångsrik världsturné under 1990 som sågs av 2 miljoner människor.,f,Hen gav sig också ut på en framgångsrik världsturné under 1990 som sågs av 2 miljoner människor.,d,m,m
4,Hon gav sig därefter ut på en världsturné som varade två år.,f,Hen gav sig därefter ut på en världsturné som varade två år.,d,m,m
5,När han var 19 turnerade han med band genom Västeuropa. ,m,När hen var 19 turnerade hen med band genom Västeuropa. ,m,f,m
6,"Han har fått tre Oscars, tre Grammies och fyra Golden Globe.",m,"Hen har fått tre Oscars, tre Grammies och fyra Golden Globe.",m,m,m
7,Samma år tog hon också examen från musikskolan.,f,Samma år tog hen också examen från musikskolan.,m,f,m
8,Han sågs som perfektionist och hade ett rykte om sig att vara svår att arbeta med.,m,Hen sågs som perfektionist och hade ett rykte om sig att vara svår att arbeta med.,d,m,pl
9,Han ersatte deras röster och lade till gitarrdelen och finslipade låten till dess nuvarande form.,m,Hen ersatte deras röster och lade till gitarrdelen och finslipade låten till dess nuvarande form.,d,m,pl
10,"Hon uppmuntrades alltså redan tidigt att spela teater, sjunga, dansa och måla.",f,"Hen uppmuntrades alltså redan tidigt att spela teater, sjunga, dansa och måla.",d,m,nb
11,Hon hade skrivit hela albumet själv.,f,Hen hade skrivit hela albumet själv.,m,m,m
12,Han fick nu löfte om fransk hjälp och marscherade med omkring 5 000 man in i England men måste snart återvända norrut.,m,Hen fick nu löfte om fransk hjälp och marscherade med omkring 5 000 man in i England men måste snart återvända norrut.,d,m,nb
13,Senare förföll han till dryckenskap och utsvävningar.,m,Senare förföll hen till dryckenskap och utsvävningar.,m,m,m
14,Hon besökte också Fader Damiens berömda Kalaupapa spetälskekoloni på Molokai.,f,Hen besökte också Fader Damiens berömda Kalaupapa spetälskekoloni på Molokai.,m,f,m
15,"Hon dömdes som skyldig till fem års straffarbete, som omvandlades till husarrest.",f,"Hen dömdes som skyldig till fem års straffarbete, som omvandlades till husarrest.",d,m,m
16,Han gjorde 1917 ett besök hos Japans kejsare.,m,Hen gjorde 1917 ett besök hos Japans kejsare.,m,m,m
17,Han hade inga barn.,m,Hen hade inga barn.,m,b,nb
18,"Hon hade lätt för att lära sig, speciellt språk.",f,"Hen hade lätt för att lära sig, speciellt språk.",d,m,nb?
19,Sedan föll hon på knä och svor eden med handen på Bibeln.,f,Sedan föll hen på knä och svor eden med handen på Bibeln.,m,m,m
20,Året därpå fick han tjänst där som docent i zoologi.,m,Året därpå fick hen tjänst där som docent i zoologi.,m,m,m
21,"I den egenskapen grundade han Klubbans biologiska station vid Fiskebäckskil, Sveriges västkust, som kunde åstadkommas genom en frikostig donation av konsul Robert Bünsow.",m,"I den egenskapen grundade hen Klubbans biologiska station vid Fiskebäckskil, Sveriges västkust, som kunde åstadkommas genom en frikostig donation av konsul Robert Bünsow.",m,m,m
22,År 1926 tog hon avsked på grund av sjukdom.,f,År 1926 tog hen avsked på grund av sjukdom.,m,m,m
23,Hon skrev dessutom Lærebog i Zoologi for Gymnasiet (1902). ,f,Hen skrev dessutom Lærebog i Zoologi for Gymnasiet (1902). ,m,m,m
24,"Han kunde då ses dyka upp på de mest märkliga platser, i olika situationer. ",m,"Hen kunde då ses dyka upp på de mest märkliga platser, i olika situationer. ",m,m,nb
25,Hon både skriver och presenterar sina egna program och är ofta berättarrösten till olika naturprogram.,m,Hen både skriver och presenterar sina egna program och är ofta berättarrösten till olika naturprogram.,d/m,m,nb
26,Istället fick hon på trettiotalet en tjänst hos amerikanska fiskerimyndigheten.,f,Istället fick hen på trettiotalet en tjänst hos amerikanska fiskerimyndigheten.,m,m,m
27,Hon var en av de första som i detta syfte analyserade näringskedjan.,f,Hen var en av de första som i detta syfte analyserade näringskedjan.,d,m,m
28,Han anses vara den mest framstående svarta forskaren i början av 1900-talet.,m,Hen anses vara den mest framstående svarta forskaren i början av 1900-talet.,d,m,m
29,"Han utvecklade hundratals produkter med jordnötter, sötpotatis och sojabönor.",m,"Hen utvecklade hundratals produkter med jordnötter, sötpotatis och sojabönor.",m,m,nb
